Datasheet,Rcs,Rjc,Cth
F3L300R07PE4_T_new,0.063,0.16,0.2381
F3L300R07PE4_RD_new,0.063,0.32,0.1233
F3L300R07PE4_RD,0.063,0.32,0.1233
F3L300R07PE4_T,0.063,0.16,0.2381
F3L400R12PT4_B26_D1D4,56e-3,160e-3,160e-3
F3L400R12PT4_B26_D2D3,77e-3,220e-3,131.7e-3
F3L400R12PT4_B26_T1T4,46e-3,70e-3,414.5e-3
F3L400R12PT4_B26_T2T3,74e-3,170e-3,177e-3
FF300R06KE3_D1D2,60e-3,320e-3,118.8e-3
FF300R06KE3_T1T2,30e-3,160e-3,235.5e-3
SEMiX453GB07E3p_RD,0.021,0.13,0.2945
SEMiX453GB07E3p_T,0.021,0.11,0.5249
SEMiX305MLI07E4_D1D4,0.043,0.25,0.0975
SEMiX305MLI07E4_D2D3,0.039,0.29,0.0834
SEMiX305MLI07E4_D5D6,0.049,0.31,0.0737
SEMiX305MLI07E4_T1T4,0.031,0.15,0.1512
SEMiX305MLI07E4_T2T3,0.035,0.16,0.1552
SEMiX405MLI07E4_D1D4,0.034,0.21,0.1125
SEMiX405MLI07E4_D2D3,0.03,0.24,0.0964
SEMiX405MLI07E4_D5D6,0.037,0.26,0.0907
SEMiX405MLI07E4_T1T4,0.03,0.13,0.1835
SEMiX405MLI07E4_T2T3,0.026,0.14,0.1673
SEMiX205TMLI12E4B_D1D4,0.065,0.26,0.0923
SEMiX205TMLI12E4B_D2D3,0.063,0.35,0.0658
SEMiX205TMLI12E4B_T1T4,0.46,0.136,0.164
SEMiX205TMLI12E4B_T2T3,0.067,0.26,0.0888
SEMiX305TMLI12E4B_D1D4,0.041,0.16,0.1484
SEMiX305TMLI12E4B_D2D3,0.059,0.22,0.1087
SEMiX305TMLI12E4B_T1T4,0.021,0.09,0.2721
SEMiX305TMLI12E4B_T2T3,0.059,0.17,0.1372
SEMiX405TMLI12E4B_D1D4,0.028,0.13,0.1829
SEMiX405TMLI12E4B_D2D3,0.046,0.18,0.1311
SEMiX405TMLI12E4B_T1T4,0.015,0.068,0.3547
SEMiX405TMLI12E4B_T2T3,0.046,0.14,0.1686
SEMiX453GB07E3p_D1D2,0.021,0.13,0.2945
SEMiX453GB07E3p_T1T2,0.021,0.11,0.5249
Fuji_2MBI400XBE065-50_T,0.025,0.086,0.3217

Fuji_2MBI400XBE065-50_RD,0.025,0.118,0.2192

Fuji_2MBI300XBE065-50_T,0.025,0.129,0.1934

Fuji_2MBI300XBE065-50_RD,0.025,0.174,0.1523

Fuji_2MBI200XAA065-50_T,0.05,0.238,0.1602

Fuji_2MBI200XAA065-50_RD,0.05,0.457,0.0784
